country,date,sector,MtCO2 per day
Brazil,01/01/2023,Domestic Aviation,0.0178653
Brazil,01/01/2023,Ground Transport,0.284394
Brazil,01/01/2023,Industry,0.247515
Brazil,01/01/2023,International Aviation,0
Brazil,01/01/2023,Power,0.0584964
Brazil,01/01/2023,Residential,0.107823
China,01/01/2023,Domestic Aviation,0.134012
China,01/01/2023,Ground Transport,2.33101
China,01/01/2023,Industry,11.7858
China,01/01/2023,International Aviation,0
China,01/01/2023,Power,20.2582
China,01/01/2023,Residential,2.75473
EU27 & UK,01/01/2023,Domestic Aviation,0.0423864
EU27 & UK,01/01/2023,Ground Transport,1.56486
EU27 & UK,01/01/2023,Industry,0.87747
EU27 & UK,01/01/2023,International Aviation,0
EU27 & UK,01/01/2023,Power,1.20916
EU27 & UK,01/01/2023,Residential,1.54546
France,01/01/2023,Domestic Aviation,0.0131967
France,01/01/2023,Ground Transport,0.255016
France,01/01/2023,Industry,0.0918426
France,01/01/2023,International Aviation,0
France,01/01/2023,Power,0.0682025
France,01/01/2023,Residential,0.167159
Germany,01/01/2023,Domestic Aviation,0.00144548
Germany,01/01/2023,Ground Transport,0.23651
Germany,01/01/2023,Industry,0.110496
Germany,01/01/2023,International Aviation,0
Germany,01/01/2023,Power,0.231736
Germany,01/01/2023,Residential,0.254538
India,01/01/2023,Domestic Aviation,0.0407154
India,01/01/2023,Ground Transport,0.87506
India,01/01/2023,Industry,2.15265
India,01/01/2023,International Aviation,0
India,01/01/2023,Power,3.77838
India,01/01/2023,Residential,1.86399
Italy,01/01/2023,Domestic Aviation,0.00570553
Italy,01/01/2023,Ground Transport,0.189306
Italy,01/01/2023,Industry,0.120252
Italy,01/01/2023,International Aviation,0
Italy,01/01/2023,Power,0.21483
Italy,01/01/2023,Residential,0.227197
Japan,01/01/2023,Domestic Aviation,0.029762
Japan,01/01/2023,Ground Transport,0.38198
Japan,01/01/2023,Industry,0.399588
Japan,01/01/2023,International Aviation,0
Japan,01/01/2023,Power,1.08699
Japan,01/01/2023,Residential,0.621128
ROW,01/01/2023,Domestic Aviation,0.157783
ROW,01/01/2023,Ground Transport,4.8239
ROW,01/01/2023,Industry,7.77634
ROW,01/01/2023,International Aviation,1.31153
ROW,01/01/2023,Power,7.79159
ROW,01/01/2023,Residential,5.21981
Russia,01/01/2023,Domestic Aviation,0.0273283
Russia,01/01/2023,Ground Transport,0.207112
Russia,01/01/2023,Industry,0.715225
Russia,01/01/2023,International Aviation,0
Russia,01/01/2023,Power,2.46747
Russia,01/01/2023,Residential,1.07395
Spain,01/01/2023,Domestic Aviation,0.0162077
Spain,01/01/2023,Ground Transport,0.114549
Spain,01/01/2023,Industry,0.106443
Spain,01/01/2023,International Aviation,0
Spain,01/01/2023,Power,0.0476365
Spain,01/01/2023,Residential,0.109358
United Kingdom,01/01/2023,Domestic Aviation,0.00234559
United Kingdom,01/01/2023,Ground Transport,0.23745
United Kingdom,01/01/2023,Industry,0.0727367
United Kingdom,01/01/2023,International Aviation,0
United Kingdom,01/01/2023,Power,0.0812024
United Kingdom,01/01/2023,Residential,0.289796
United States,01/01/2023,Domestic Aviation,0.315246
United States,01/01/2023,Ground Transport,3.23253
United States,01/01/2023,Industry,2.28547
United States,01/01/2023,International Aviation,0
United States,01/01/2023,Power,3.47342
United States,01/01/2023,Residential,1.69553
Brazil,02/01/2023,Domestic Aviation,0.0313303
Brazil,02/01/2023,Ground Transport,0.343752
Brazil,02/01/2023,Industry,0.324701
Brazil,02/01/2023,International Aviation,0
Brazil,02/01/2023,Power,0.0767381
Brazil,02/01/2023,Residential,0.107823
China,02/01/2023,Domestic Aviation,0.191004
China,02/01/2023,Ground Transport,2.56359
China,02/01/2023,Industry,11.8063
China,02/01/2023,International Aviation,0
China,02/01/2023,Power,20.2934
China,02/01/2023,Residential,2.85498
EU27 & UK,02/01/2023,Domestic Aviation,0.0506106
EU27 & UK,02/01/2023,Ground Transport,1.97728
EU27 & UK,02/01/2023,Industry,1.37614
EU27 & UK,02/01/2023,International Aviation,0
EU27 & UK,02/01/2023,Power,1.89633
EU27 & UK,02/01/2023,Residential,1.83872
France,02/01/2023,Domestic Aviation,0.0134638
France,02/01/2023,Ground Transport,0.293786
France,02/01/2023,Industry,0.111832
France,02/01/2023,International Aviation,0
France,02/01/2023,Power,0.0830465
France,02/01/2023,Residential,0.21567
Germany,02/01/2023,Domestic Aviation,0.00224487
Germany,02/01/2023,Ground Transport,0.329527
Germany,02/01/2023,Industry,0.227092
Germany,02/01/2023,International Aviation,0
Germany,02/01/2023,Power,0.476265
Germany,02/01/2023,Residential,0.323761
India,02/01/2023,Domestic Aviation,0.0408073
India,02/01/2023,Ground Transport,0.885358
India,02/01/2023,Industry,2.21738
India,02/01/2023,International Aviation,0
India,02/01/2023,Power,3.892
India,02/01/2023,Residential,2.09909
Italy,02/01/2023,Domestic Aviation,0.00691497
Italy,02/01/2023,Ground Transport,0.22603
Italy,02/01/2023,Industry,0.153944
Italy,02/01/2023,International Aviation,0
Italy,02/01/2023,Power,0.275019
Italy,02/01/2023,Residential,0.229528
Japan,02/01/2023,Domestic Aviation,0.0307208
Japan,02/01/2023,Ground Transport,0.448323
Japan,02/01/2023,Industry,0.416865
Japan,02/01/2023,International Aviation,0
Japan,02/01/2023,Power,1.13399
Japan,02/01/2023,Residential,0.692965
ROW,02/01/2023,Domestic Aviation,0.189518
ROW,02/01/2023,Ground Transport,5.07089
ROW,02/01/2023,Industry,8.40253
ROW,02/01/2023,International Aviation,1.34151
ROW,02/01/2023,Power,8.46128
ROW,02/01/2023,Residential,5.21538
Russia,02/01/2023,Domestic Aviation,0.0385609
Russia,02/01/2023,Ground Transport,0.425006
Russia,02/01/2023,Industry,0.724881
Russia,02/01/2023,International Aviation,0
Russia,02/01/2023,Power,2.50078
Russia,02/01/2023,Residential,1.02434
Spain,02/01/2023,Domestic Aviation,0.0184594
Spain,02/01/2023,Ground Transport,0.173233
Spain,02/01/2023,Industry,0.227068
Spain,02/01/2023,International Aviation,0
Spain,02/01/2023,Power,0.10162
Spain,02/01/2023,Residential,0.115273
United Kingdom,02/01/2023,Domestic Aviation,0.0033739
United Kingdom,02/01/2023,Ground Transport,0.227735
United Kingdom,02/01/2023,Industry,0.114403
United Kingdom,02/01/2023,International Aviation,0
United Kingdom,02/01/2023,Power,0.127718
United Kingdom,02/01/2023,Residential,0.362508
United States,02/01/2023,Domestic Aviation,0.365299
United States,02/01/2023,Ground Transport,1.9543
United States,02/01/2023,Industry,2.25609
United States,02/01/2023,International Aviation,0
United States,02/01/2023,Power,3.42877
United States,02/01/2023,Residential,1.79223
Brazil,03/01/2023,Domestic Aviation,0.0315929
